BART,Montgomery St.,MONT,37.789256,-122.401407,6,75,61500,6.07506E+13,112328
BART,Powell St.,POWL,37.784991,-122.406857,6,75,17601,6.07502E+13,23099
BART,Rockridge,ROCK,37.844601,-122.251793,6,1,400300,6.0014E+13,52314
BART,San Leandro,SANL,37.72261921,-122.1613112,6,1,432600,6.00143E+13,45805
BART,16th St. Mission,16TH,37.765062,-122.419694,6,75,20100,6.07502E+13,38579
BART,19th St. Oakland,19TH_N,37.80787,-122.269029,6,1,402900,6.0014E+13,18706
BART,South San Francisco,SSAN,37.664174,-122.444116,6,81,601902,6.0816E+13,70238
BART,Balboa Park,BALB,37.72198087,-122.4474142,6,75,26100,6.07503E+13,71404
BART,El Cerrito del Norte,DELN,37.925655,-122.317269,6,13,386000,6.01339E+13,47679
BART,MacArthur,MCAR,37.828415,-122.267227,6,1,401100,6.0014E+13,40539
BART,Dublin/Pleasanton,DUBL,37.701695,-121.900367,6,1,450743,6.00145E+13,90457
BART,Embarcadero,EMBR,37.792976,-122.396742,6,75,61500,6.07506E+13,112328
BART,Walnut Creek,WCRK,37.905628,-122.067423,6,13,339002,6.01334E+13,78351
BART,Millbrae,MLBR,37.599787,-122.38666,6,81,604400,6.0816E+13,59028
BART,Glen Park,GLEN,37.732921,-122.434092,6,75,31100,6.07503E+13,101641
BART,North Berkeley,NBRK,37.87404,-122.283451,6,1,422200,6.00142E+13,51064
BART,Orinda,ORIN,37.87836087,-122.1837911,6,13,354001,6.01335E+13,152566
BART,Bay Fair,BAYF,37.697185,-122.126871,6,1,433800,6.00143E+13,53919
BART,Lake Merritt,LAKE,37.797484,-122.265609,6,1,403300,6.0014E+13,63913
BART,Ashby,ASHB,37.853024,-122.26978,6,1,423901,6.00142E+13,57986
BART,Union City,UCTY,37.591208,-122.017867,6,1,440335,6.00144E+13,138589
BART,19th St. Oakland,19TH,37.80787,-122.269029,6,1,402900,6.0014E+13,18706
BART,Colma,COLM,37.684638,-122.466233,6,81,601300,6.0816E+13,50172
BART,MacArthur,MCAR_S,37.828415,-122.267227,6,1,401100,6.0014E+13,40539
BART,Richmond,RICH,37.936887,-122.353165,6,13,375000,6.01338E+13,41653
BART,Fremont,FRMT,37.557355,-121.9764,6,1,441924,6.00144E+13,100768
