route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8150,2,5452450,the Richmond District,0,417323,95726
8150,2,5452449,the Richmond District,0,417333,95726
8150,2,5452447,the Richmond District,0,417326,95726
8150,2,5452446,the Richmond District,0,417332,95726
8150,2,5452445,the Richmond District,0,417325,95726
8150,2,5452444,the Richmond District,0,417328,95726
8150,2,5452443,the Richmond District,0,417335,95726
8150,2,5452442,the Richmond District,0,417327,95726
8150,2,5452441,the Richmond District,0,417331,95726
8150,2,5452440,the Richmond District,0,417324,95726
8150,2,5452439,the Richmond District,0,417334,95726
8150,2,5452438,the Richmond District,0,417330,95726
8150,2,5452437,the Richmond District,0,417323,95726
8150,2,5452436,the Richmond District,0,417333,95726
8150,2,5452435,the Richmond District,0,417329,95726
8150,2,5452434,the Richmond District,0,417326,95726
8150,2,5452433,the Richmond District,0,417332,95726
8150,2,5452432,the Richmond District,0,417325,95726
8150,2,5452431,the Richmond District,0,417328,95726
8150,2,5452430,the Richmond District,0,417335,95726
8150,2,5452429,the Richmond District,0,417327,95726
8150,2,5452428,the Richmond District,0,417331,95726
8150,2,5452427,the Richmond District,0,417324,95726
8150,2,5452426,the Richmond District,0,417334,95726
8150,2,5452425,the Richmond District,0,417330,95726
8150,2,5452424,the Richmond District,0,417323,95726
8150,2,5452423,the Richmond District,0,417333,95726
8150,2,5452422,the Richmond District,0,417329,95726
8150,2,5452421,the Richmond District,0,417326,95726
8150,2,5452420,the Richmond District,0,417332,95726
8150,2,5452419,the Richmond District,0,417325,95726
8150,2,5452418,the Richmond District,0,417328,95726
8150,2,5452417,the Richmond District,0,417335,95726
8150,2,5452416,the Richmond District,0,417327,95726
8150,2,5452415,the Richmond District,0,417331,95726
8150,2,5452414,the Richmond District,0,417324,95726
8150,2,5452413,the Richmond District,0,417334,95726
8150,2,5452385,the Richmond District,0,417326,95726
8150,2,5452384,the Richmond District,0,417325,95726
8150,2,5452382,the Richmond District,0,417327,95726
8150,2,5452381,the Richmond District,0,417324,95726
8150,2,5452380,the Richmond District,0,417323,95726
8150,2,5452379,the Richmond District,0,417326,95726
8150,2,5452378,the Richmond District,0,417325,95726
8150,2,5452377,the Richmond District,0,417324,95726
8150,2,5452376,the Richmond District,0,417323,95726
8150,2,5452375,the Richmond District,0,417326,95726
8150,2,5452374,the Richmond District,0,417325,95726
8150,2,5452373,the Richmond District,0,417324,95726
8150,2,5452372,the Richmond District,0,417323,95726
8150,2,5452371,the Richmond District,0,417326,95726
8150,2,5452370,the Richmond District,0,417325,95726
8150,2,5452369,the Richmond District,0,417324,95726
8150,2,5452368,the Richmond District,0,417323,95726
8150,2,5452367,the Richmond District,0,417326,95726
8150,2,5452366,the Richmond District,0,417325,95726
8150,2,5452365,the Richmond District,0,417324,95726
8150,2,5452364,the Richmond District,0,417323,95726
8150,3,5351132,the Richmond District,0,408239,95726
8150,3,5351130,the Richmond District,0,408238,95726
8150,3,5351129,the Richmond District,0,408247,95726
8150,3,5351127,the Richmond District,0,408246,95726
8150,3,5351126,the Richmond District,0,408239,95726
8150,3,5351125,the Richmond District,0,408249,95726
8150,3,5351124,the Richmond District,0,408238,95726
8150,3,5351122,the Richmond District,0,408243,95726
8150,3,5351121,the Richmond District,0,408247,95726
8150,3,5351119,the Richmond District,0,408246,95726
8150,3,5351118,the Richmond District,0,417319,95726
8150,3,5351117,the Richmond District,0,408239,95726
