fare_id,route_id,origin_id,destination_id,contains_id
1,8150,,,
1,1002,,,
1,1003,,,
1,8152,,,
1,1006,,,
1,1071,,,
1,1072,,,
1,1108,,,
1,1109,,,
1,1110,,,
1,1900,,,
1,1901,,,
1,1010,,,
1,1012,,,
1,8157,,,
1,8158,,,
1,8159,,,
1,8160,,,
1,8161,,,
1,8163,,,
1,8164,,,
1,8165,,,
1,8166,,,
1,8167,,,
1,1028,,,
1,1029,,,
1,8170,,,
1,1030,,,
1,1045,,,
1,8172,,,
1,8173,,,
1,8174,,,
1,8175,,,
1,8176,,,
1,8177,,,
1,8178,,,
1,8179,,,
1,8180,,,
1,8181,,,
1,8182,,,
1,8183,,,
1,8184,,,
1,8185,,,
1,8186,,,
1,8187,,,
2,1059,,,
2,1060,,,
2,8190,,,
1,8191,,,
1,8192,,,
1,8193,,,
1,1080,,,
1,1081,,,
1,1082,,,
1,8195,,,
1,8196,,,
1,8197,,,
1,8198,,,
1,1094,,,
1,1093,,,
1,1101,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,1197,,,
1,1199,,,
1,1198,,,
1,1196,,,
1,8205,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,8209,,,
1,1115,,,
1,1114,,,
1,8212,,,
1,8213,,,
1,8287,,,

